id,count,nearIds
5,2,5 6 
6,2,6 5 
20,2,20 21 
21,2,21 20 
38,2,38 39 
39,2,39 38 
52,3,52 53 55 
53,2,53 52 
55,2,55 52 
56,3,56 58 68 
58,3,58 56 68 
60,7,60 62 63 75 76 77 61 
61,9,61 60 62 63 75 76 77 82 87 
62,6,62 60 63 75 61 82 
63,9,63 60 62 75 76 77 61 82 87 
64,2,64 112 
68,3,68 56 58 
72,3,72 73 74 
73,3,73 72 74 
74,3,74 72 73 
75,7,75 60 62 63 76 77 61 
76,7,76 60 63 75 77 61 80 
77,7,77 60 63 75 76 61 80 
80,3,80 76 77 
82,5,82 62 63 61 87 
86,4,86 91 94 98 
87,4,87 63 61 82 
88,3,88 90 91 
89,3,89 90 92 
90,4,90 88 89 92 
91,5,91 86 88 92 98 
92,5,92 89 90 91 96 
94,3,94 86 98 
96,2,96 92 
97,3,97 101 103 
98,4,98 86 91 94 
100,2,100 101 
101,4,101 97 100 103 
103,4,103 97 101 104 
104,2,104 103 
112,2,112 64 
120,2,120 121 
121,2,121 120 
184,3,184 192 226 
188,5,188 189 190 191 225 
189,6,189 188 190 191 225 226 
190,4,190 188 189 191 
191,7,191 188 189 190 195 225 229 
192,2,192 184 
195,3,195 191 196 
196,2,196 195 
198,4,198 232 233 237 
211,4,211 232 233 245 
212,2,212 213 
213,3,213 212 216 
216,2,216 213 
225,5,225 188 189 191 226 
226,4,226 184 189 225 
227,2,227 228 
228,3,228 227 230 
229,3,229 191 230 
230,3,230 228 229 
231,4,231 234 236 244 
232,8,232 198 211 233 234 237 238 245 
233,8,233 198 211 232 234 237 238 245 
234,8,234 231 232 233 235 236 237 238 
235,4,235 234 237 238 
236,5,236 231 234 238 244 
237,7,237 198 232 233 234 235 238 
238,7,238 232 233 234 235 236 237 
242,2,242 243 
243,2,243 242 
244,3,244 231 236 
245,4,245 211 232 233 
246,2,246 247 
247,2,247 246 
250,2,250 251 
251,2,251 250 
258,2,258 259 
259,2,259 258 
