id,count,nearIds
5,2,5 6 
6,2,6 5 
21,3,21 22 23 
22,3,22 21 23 
23,3,23 21 22 
24,2,24 118 
25,4,25 27 53 55 
26,3,26 48 52 
27,4,27 25 53 55 
36,5,36 38 39 47 49 
37,4,37 38 42 49 
38,6,38 36 37 39 47 49 
39,4,39 36 38 45 
40,3,40 49 51 
42,2,42 37 
43,2,43 54 
45,2,45 39 
46,2,46 119 
47,5,47 36 38 48 49 
48,6,48 26 47 49 50 52 
49,10,49 36 37 38 40 47 48 50 51 52 
50,5,50 48 49 51 52 
51,4,51 40 49 50 
52,6,52 26 48 49 50 54 
53,5,53 25 27 55 57 
54,3,54 43 52 
55,5,55 25 27 53 56 
56,3,56 55 57 
57,3,57 53 56 
65,3,65 66 68 
66,3,66 65 68 
68,3,68 65 66 
69,2,69 70 
70,2,70 69 
71,2,71 72 
72,2,72 71 
99,2,99 100 
100,2,100 99 
112,2,112 114 
114,2,114 112 
118,2,118 24 
119,2,119 46 
120,2,120 127 
122,2,122 123 
123,2,123 122 
124,3,124 125 126 
125,3,125 124 126 
126,5,126 124 125 127 128 
127,4,127 120 126 128 
128,3,128 126 127 
152,2,152 153 
153,2,153 152 
161,3,161 162 163 
162,3,162 161 163 
163,3,163 161 162 
165,2,165 166 
166,2,166 165 
168,2,168 170 
170,3,170 168 171 
171,2,171 170 
