id,count,nearIds
1,2,1 2 
2,2,2 1 
45,3,45 46 47 
46,3,46 45 47 
47,3,47 45 46 
49,2,49 50 
50,2,50 49 
51,2,51 52 
52,2,52 51 
56,2,56 57 
57,2,57 56 
58,2,58 59 
59,2,59 58 
61,3,61 98 99 
63,2,63 66 
64,3,64 94 95 
65,2,65 67 
66,2,66 63 
67,2,67 65 
69,2,69 102 
70,2,70 71 
71,2,71 70 
78,2,78 79 
79,2,79 78 
88,2,88 89 
89,2,89 88 
90,4,90 92 93 95 
92,2,92 90 
93,3,93 90 95 
94,3,94 64 95 
95,5,95 64 90 93 94 
97,2,97 100 
98,3,98 61 99 
99,3,99 61 98 
100,2,100 97 
101,2,101 103 
102,2,102 69 
103,2,103 101 
104,4,104 105 106 107 
105,4,105 104 107 127 
106,2,106 104 
107,4,107 104 105 127 
118,2,118 424 
127,3,127 105 107 
128,2,128 129 
129,2,129 128 
134,4,134 135 136 137 
135,4,135 134 136 137 
136,4,136 134 135 137 
137,4,137 134 135 136 
138,2,138 139 
139,2,139 138 
197,2,197 198 
198,3,198 197 199 
199,2,199 198 
205,3,205 206 207 
206,2,206 205 
207,2,207 205 
209,4,209 210 211 215 
210,2,210 209 
211,3,211 209 215 
213,2,213 216 
214,3,214 215 216 
215,5,215 209 211 214 216 
216,4,216 213 214 215 
217,2,217 218 
218,2,218 217 
219,3,219 220 221 
220,2,220 219 
221,3,221 219 225 
222,2,222 226 
223,2,223 224 
224,2,224 223 
225,2,225 221 
226,2,226 222 
234,2,234 615 
245,2,245 247 
247,3,247 245 251 
251,2,251 247 
252,2,252 253 
253,2,253 252 
254,2,254 255 
255,2,255 254 
256,2,256 257 
257,2,257 256 
258,2,258 262 
259,2,259 260 
260,2,260 259 
261,2,261 266 
262,2,262 258 
265,2,265 266 
266,3,266 261 265 
271,2,271 282 
275,2,275 276 
276,2,276 275 
278,2,278 279 
279,2,279 278 
282,2,282 271 
285,2,285 292 
289,3,289 290 291 
290,3,290 289 291 
291,3,291 289 290 
292,2,292 285 
297,3,297 298 303 
298,2,298 297 
300,2,300 301 
301,3,301 300 305 
303,2,303 297 
304,3,304 313 314 
305,2,305 301 
307,2,307 308 
308,2,308 307 
313,4,313 304 314 315 
314,4,314 304 313 315 
315,4,315 313 314 319 
316,2,316 320 
317,2,317 318 
318,2,318 317 
319,2,319 315 
320,2,320 316 
326,2,326 327 
327,2,327 326 
328,3,328 329 332 
329,3,329 328 332 
332,4,332 328 329 333 
333,2,333 332 
361,2,361 362 
362,3,362 361 364 
364,2,364 362 
392,2,392 393 
393,2,393 392 
408,2,408 409 
409,2,409 408 
420,2,420 421 
421,2,421 420 
424,2,424 118 
431,3,431 432 433 
432,4,432 431 433 435 
433,4,433 431 432 435 
435,3,435 432 433 
443,2,443 444 
444,2,444 443 
448,2,448 449 
449,2,449 448 
463,2,463 465 
465,2,465 463 
519,2,519 520 
520,2,520 519 
533,2,533 536 
536,2,536 533 
539,2,539 540 
540,2,540 539 
541,3,541 543 545 
542,2,542 554 
543,2,543 541 
545,2,545 541 
553,2,553 554 
554,3,554 542 553 
558,2,558 560 
560,2,560 558 
562,2,562 566 
566,2,566 562 
592,2,592 594 
594,2,594 592 
613,2,613 614 
614,2,614 613 
615,2,615 234 
