id,count,nearIds
6,2,6 10 
7,2,7 9 
9,2,9 7 
10,2,10 6 
13,2,13 14 
14,2,14 13 
21,2,21 22 
22,2,22 21 
25,2,25 27 
27,2,27 25 
52,2,52 53 
53,2,53 52 
59,3,59 60 61 
60,2,60 59 
61,2,61 59 
62,2,62 74 
65,3,65 66 69 
66,3,66 65 69 
69,3,69 65 66 
71,2,71 72 
72,2,72 71 
74,2,74 62 
81,2,81 82 
82,2,82 81 
84,2,84 231 
118,2,118 119 
119,2,119 118 
122,2,122 123 
123,2,123 122 
137,2,137 138 
138,2,138 137 
139,2,139 150 
143,2,143 144 
144,2,144 143 
145,3,145 146 312 
146,3,146 145 312 
147,2,147 148 
148,2,148 147 
150,2,150 139 
173,2,173 174 
174,3,174 173 176 
176,2,176 174 
231,2,231 84 
232,2,232 233 
233,2,233 232 
266,2,266 293 
293,2,293 266 
312,3,312 145 146 
