epoch,acc,loss,val_acc,val_loss
0,0.7532579373752732,0.4241619637323713,0.624799591897492,0.5839275455924284
1,0.7665577360390006,0.4055924891022283,0.6448282563349153,0.5776704652475174
2,0.7706240981797019,0.4022566809333391,0.6376500024360667,0.5677529091981667
3,0.7710062107540232,0.40018999246066234,0.696424233613994,0.550615393280873
4,0.770618395007367,0.3991846742584576,0.6536340669553302,0.5630889602886173
5,0.7726601308107249,0.39789353361941715,0.7070883738921044,0.5475614282779419
6,0.7721639548352546,0.3979918843051539,0.7177282223309731,0.5524511167121943
7,0.7719301246892938,0.3968996285463168,0.6933513093039865,0.5593620340203148
8,0.7728939608951574,0.3960813919847978,0.7246999950952886,0.542758560279701
9,0.7732304480639436,0.39625975959424364,0.7168537141867527,0.5523072434909164
10,0.7761561756417784,0.394772329719589,0.7030073361265783,0.5577239733259387
11,0.7790305746934133,0.3938942769426578,0.7325219841703743,0.5547023526069949
12,0.7888286253255375,0.3888138783121783,0.716124957474711,0.5622860246738343
13,0.8115329557731041,0.36854065487537235,0.6988898605714211,0.5241423958257041
14,0.8249297083627876,0.3531403963666352,0.679577806934925,0.6249702093361801
15,0.831927501263517,0.3460651746590823,0.7013190497080873,0.5223527836080301
16,0.8352581541199704,0.34137533963654276,0.717716076380584,0.5040368563358704
17,0.8385602911269863,0.33903660660423923,0.7066997036458029,0.5211150180677836
18,0.842267353337495,0.3353085335829101,0.6938128552757888,0.5559355552890457
19,0.8420278200613512,0.33476367378822136,0.701452655110604,0.5167926253495455
