epoch,loss
0,0.0018707855876224737
1,0.001745176353407177
2,0.0017840547176698844
3,0.0018260547199822736
4,0.001751987180658475
5,0.0017508610352789137
6,0.0017756079358867173
7,0.0018753279106352818
8,0.0017429746010086753
9,0.0018108794977182918
10,0.0017156102006662297
11,0.0017409211193973367
12,0.0017625361956147985
13,0.0018023918453378208
14,0.0017641670931356423
15,0.001804420929119894
16,0.0017828351613416364
17,0.0017544183118099515
18,0.0017715984846070182
19,0.001764690902112334
20,0.0017946740421889858
21,0.0017823333707355866
22,0.0018286815770393746
23,0.0017493258240971375
24,0.0017752687951239448
25,0.0018493725466683056
26,0.0017781532440108783
27,0.0017632608210216417
28,0.0017833495618436825
29,0.0016850938740059394
30,0.0018746859842036483
31,0.0018203861722158213
32,0.0018208083188669248
33,0.0018196196390569887
34,0.001803937161722305
35,0.0018358217326529098
36,0.0017661744689879317
37,0.0017886056042643208
38,0.0018336971512656999
39,0.0017590371602581758
40,0.0018381619787154098
41,0.0018012040950865908
42,0.0017707528437092674
43,0.0018548052475759478
44,0.0017675383961900618
45,0.0017615434551385767
46,0.0017988019795721452
47,0.0018007830667281241
48,0.0017818313719930522
49,0.001774637787038404
50,0.0017701062183319168
51,0.0017298596247917776
52,0.001699547140478072
53,0.0017764474808548887
54,0.0017656227062230535
55,0.0017972852360936954
56,0.0016991312044080007
57,0.0017782075852720122
58,0.0017711549475224633
59,0.0017738219449353037
60,0.0017011988445918894
61,0.001801972448557728
62,0.0017764899265867743
63,0.0018353384944158747
