26.988	25.846	25.058	25.05	25.054	25.461	28.007	28.646	29.554	30.294	30.008	29.503	29.084	29.165	28.528	28.753	29.993	35.229	36.004	36.007	34.493	31.484	27.99	26.338
25.059	24.757	24.751	24.901	25.056	27.05	34.021	35.008	33.888	33.586	33.368	31.834	31.992	31.991	31.454	31.997	36.061	38.992	39.233	38.998	38.845	33.523	28.992	27.317
25.996	24.009	24.002	24.003	25.054	28.01	34.683	36.313	35.367	34.494	33.641	32.229	32.226	32.225	31.932	30.996	33.005	36.243	36.618	36.24	34.763	32.006	28.236	26.509
26.057	25.736	25.76	25.791	26.56	27.833	35.007	35.588	34.755	34.834	34.999	33.634	33.506	33.003	32.005	32.006	34.508	36.427	39.035	38.008	35.539	33.114	29.254	27.01
26.915	26.757	26.753	26.756	27.504	28.807	34.81	34.006	33.142	32.997	32.773	31.865	31.626	31.328	30.927	30.786	32.26	34.992	36.021	34.503	34.006	33.109	29.336	28.305
27.504	26.769	26.757	26.756	27.003	29.438	35.79	36.05	35.146	34.495	34.869	34.008	33.9	32.824	32.426	31.878	32.858	35.998	37.119	34.992	34.349	33.513	29.996	29.415
28.743	27.758	27.553	27.509	27.553	27.55	29.921	29.993	30.403	30.406	31.06	30.364	29.991	29.925	29.421	29.22	29.922	32.994	34.005	32.203	31.992	30.902	29.893	28.059
26.0075	27.505	27.251	27.014	27.006	27.29	29.325	29.557	29.822	29.898	29.992	29.991	29.828	29.821	29.334	29.324	29.995	34.503	36.096	35.61	33.758	30.608	28.559	27.38
27.001	26.758	26.756	26.76	27.26	28.86	33.029	33.353	32.786	33.069	33.513	33.754	33.63	33.359	32.922	32.368	32.975	34.252	35.533	34.001	33.359	32.992	29.994	29.496
26.753	26.64	25.243	25.754	26.753	28.04	31.285	30.303	30.244	30.244	30.249	30.249	30.245	30.241	29.996	29.993	30.241	31.81	33.488	31.517	31.091	30.25	29.606	27.993
26.759	26.252	24.999	24.996	26.758	28.742	32.847	32.523	33.224	31.925	31.786	31.727	31.727	31.783	31.727	31.723	31.727	33.481	35.703	33.098	32.633	31.565	28.747	28.52
26.17	26.204	25.256	25.257	26.16	28.557	32.175	33.349	33.995	33.294	32.789	32.427	32.522	32.456	32.096	31.714	31	34.299	36.383	33.492	32.641	31.421	29.041	28.007
27.751	27.256	26.255	26.256	26.641	28.747	32.485	34.099	33.603	31.337	32.416	31.689	30.903	31.843	31.243	30.675	30.495	32.355	34.003	31.53	32.176	31.501	29.223	28.552
29.056	28.727	27.998	27.976	27.93	28.553	29.231	29.738	30.009	30.007	30.494	30.004	29.538	28.898	28.75	27.997	28.742	30.238	31.86	30.497	30.518	30.49	29.555	28.747
29.051	27.616	27.281	27.302	27.154	27.773	30.741	30.744	31.123	31.82	32.007	32.12	32.006	31.823	31.473	31.589	32.26	34.168	36.007	35.992	34.12	33.496	30.92	29.99
28.991	27.815	26.995	27.801	28.553	30.987	33.387	34.069	35.299	33.759	35.166	34.983	34.501	34.612	33.753	33.356	33.596	37.859	39.372	35.528	34.93	33.591	31.972	29.242
28.56	27.26	26.995	27.374	27.592	30.022	34.676	34.438	35.991	36.185	36.002	35.187	34.997	34.831	34.004	34.003	33.97	36.719	40.006	36.637	34.538	33.759	31.007	29.051
26.426	25.814	24.692	25.227	26.008	28.559	31.867	32.996	33.373	34.413	34.02	33.581	32.676	32.038	31.649	31.116	31.526	34.258	36.613	35.003	34.809	31.622	29.997	28.993
26.555	25.744	24.997	25.906	26.769	28.516	32.532	33.354	33.558	34.396	34.647	34.595	33.632	33.212	33.012	32.612	32.017	34.214	36.951	35.419	35.12	32.257	30.982	28.174
27.91	25.556	25.298	25.554	27.493	29.497	33.753	35.003	35.003	34.093	34.345	34.145	33.758	33.366	32.706	31.996	31.992	33.494	36.504	34.18	34.473	33.28	30.981	28.401
27.445	26.972	25.993	25.985	25	26.495	28.148	28.46	29.708	29.758	29.996	29.991	29.376	28.307	27.225	26.407	26.451	30.383	31.994	30.897	29.657	30.42	28.318	26.533
25.074	23.964	22.19	22.419	22.828	24.769	29.493	29.495	29.499	29.498	29.999	30.054	29.998	29.498	29.492	28.692	29.138	30.997	32.384	32.219	31.998	30.993	27.982	24.226
23.983	21.755	21.039	21.532	22.563	25.723	29.958	30.284	31.24	30.25	31.282	30.808	29.989	29.986	29.981	28.866	29.13	30.699	33.041	31.245	31.221	30.938	29.495	25.538
24.992	21.976	21.134	21.532	23.317	28.158	31.994	32.88	32.74	31.983	32.409	31.99	30.872	30.723	29.981	29.678	29.991	32.5	33.207	31.998	31.938	31.244	29.407	25.997
24.042	20.667	20.016	20.017	21.918	27.852	30.303	30.269	30.916	31.027	30.996	30.522	30.369	30.06	30.237	29.535	29.498	30.887	32.761	31.393	30.883	29.994	27.63	24.995
24.755	20.66	19.962	20.011	22.308	28.414	30.489	31.5	31.037	30.755	31.399	31.001	29.991	29.918	29.302	28.997	29.262	32.095	33.579	32.481	30.881	29.995	28.772	27.507
25.258	23.102	20.792	20.552	23.65	27.634	30.935	31.996	31.827	30.976	31.312	30.548	30.77	30.547	29.6	29.102	29.147	30.884	31.993	30.824	29.496	29.751	28.488	26.993
26.783	25.503	24.919	24.769	24.502	25.508	27.942	27.765	27.993	27.942	27.749	27.52	27.562	26.994	25.982	25.086	25.984	27.95	29.491	28.507	27.995	27.757	26.421	23.992
23.503	23.223	21.467	21.399	22.094	23.063	24.501	26.99	28.009	28.008	28.273	28.502	28.504	28.01	28.003	27.992	28.042	31.008	32.667	31.702	30.89	29.988	24.996	24.157
23.509	22.322	21.477	22.298	23.507	25.002	29.934	30.847	30.287	29.993	30.618	30.152	30.774	31.01	30.595	29.936	29.937	34.116	35.691	32.892	31.997	29.937	29.005	26.019
24.508	23.504	23.047	23.507	24.587	28.741	31.549	32.241	31.716	32.248	31.767	32.072	29.995	29.992	29.741	29.35	29.496	32.063	33.992	33.045	31.629	29.749	27.836	24.991
22.459	21.107	20.309	21.363	23.141	28.421	31.405	32.216	31.668	31.551	30.858	30.734	30.311	30.278	29.599	29.185	29.69	31.493	33.498	32.49	32.482	31.921	28.893	25.988
23.622	20.439	19	19.655	20.712	25.998	30.678	31.067	30.344	30.231	30.713	30.252	29.758	29.257	29.251	28.816	29.257	30.987	32.636	31.862	30.931	30.132	27.189	23.996
23.508	21.233	19.362	19.991	22.831	26.236	29.207	30.55	29.714	29.617	29.609	29.087	29.102	28.993	28.333	28.001	28.25	29.788	31.985	31.252	30.414	30.003	28.995	26.276
23.581	21	18.996	19.336	22.014	24.505	25.795	27.468	28	27.909	28.09	28.01	27.99	27.502	26.741	25.792	25.798	27.999	30.336	29.784	28.354	27.886	25.998	23.7
21.934	18.993	17.444	17.271	17.798	19.695	23.502	24.502	25.995	27.003	27.253	27.26	27.252	27.004	27.001	27	27.358	28.699	32.971	32.406	31.48	28.403	26.009	22.843
22.255	19.843	18.57	19.405	22.799	27.005	29.456	31.534	31.044	31.043	31.255	30.253	30.076	29.614	29.506	29.718	29.795	31.975	33.541	32.974	31.12	29.27	27.849	25.99
25.377	23.504	22.799	23.501	24.509	29.137	31.91	32.74	31.993	31.994	32.741	31.421	31.108	30.974	30.644	30.084	30.324	32.744	35.58	34.99	32.359	29.998	29.596	27.044
24.503	23.385	21.45	22.328	23.502	28.178	32.07	32.581	32.426	32.594	32.367	32.74	32.08	31.901	31.349	30.379	30.499	32.306	35.404	34.803	32.743	31.102	28.509	25.046
21.048	18.997	16.975	17.305	19.618	26.907	31.16	31.503	31.732	31.434	31.842	29.686	29.389	29.26	29.25	28.991	29.255	32.005	34.242	33.332	32.554	31.311	27.928	24.798
23.087	19.993	18.873	19.967	19.978	25.996	30.195	31.057	30.505	30.717	31.045	31.253	31.117	30.514	29.729	28.66	29.254	30.23	32.744	32.743	30.553	30.241	28.505	24.992
21.988	18.163	15.319	15.095	15.843	20.062	23.506	23.996	24.886	26.219	26.664	25.995	24.923	24.386	23.997	23.991	23.992	27.366	30.001	29.994	28.753	27.194	25.807	19.536
18.919	14.725	13.994	13.998	14.995	20.993	24.793	25.017	27.041	27.503	27.752	27.506	27.508	27.502	26.833	26.531	27.5	30.859	34.484	34.401	32.287	29.755	27.252	20.074
20.861	15.001	13.997	14.275	17.873	25.577	29.154	30.63	30.279	30.004	30.674	29.808	29.807	29.805	29.507	28.99	28.599	32.002	34.489	34.045	32.007	29.01	28.915	25.498
24.503	22.996	21.711	21.325	23.501	28.994	30	30.342	30.009	29.866	30.004	29.995	29.91	30.002	29.531	28.847	28.539	30.564	35.15	34.258	31.527	29.996	29.625	24.505
24.712	23.273	19.994	19.999	23.501	27.605	30.804	33.008	31.877	31.518	32.234	32.472	32.503	32.263	32.007	30.675	30.066	33.053	35.813	34.999	32.735	31.519	30.404	26.47
24.995	23.501	19.968	19.99	23.062	26.929	29.336	30.567	30.217	30.749	31.922	31.504	31.551	31.574	31.149	30.985	30.415	30.685	35.869	35.186	33.316	31.989	30.518	26.496
24.219	22.049	19.212	19.488	23.506	28.78	30.944	32.741	31.518	31.294	32.63	31.844	31.926	32.212	31.917	31.046	30.511	31.316	36.007	35.554	33.001	32.09	30.259	25.991
25.997	23.506	20.415	19.555	22.791	24.505	24.542	25.637	26.807	32.224	33.609	33.299	32.886	32.489	31	30.28	30.492	29.018	39.496	39.497	36.998	33.048	33.285	28.014
29.756	26.502	16.598	16.006	16.005	21.147	24.014	28.099	30.075	31.255	33.053	33.056	33.058	32.007	31.503	30.725	33.056	36.961	48.106	45.726	41.846	35.683	30.831	25.998
19.619	15.067	14.467	14.995	18.541	25.643	29.23	30.421	30.098	30.428	31.503	31.003	31.009	31.007	31.392	30.216	30.283	30.706	34.568	33.919	32.375	30.339	30.277	25.473
25.5	23.23	19.779	20.728	25.507	28.997	31.222	31.991	30.954	31.178	32.198	31.657	31.658	31.703	31.705	31.006	30.509	31.221	35.743	34.717	32.908	30.858	29.755	26.519
